wine_name,price,overall_rating,is_cellar_defender
Saint-?ilion Grand Cru (Premier Grand Cru Class?),520.0,4.2,False
Pessac-L?gnan (Grand Cru Class? de Graves),519.99,4.5,False
Pomerol,519.95,4.4,False
Pomerol,519.95,4.2,False
Pomerol,519.95,4.1,False
Brunello di Montalcino Riserva,516.94,4.6,False
Chateauneuf-du-Pape R?erve des C?estins,514.95,4.5,False
Chapelle d'Ausone Saint-?ilion Grand Cru,510.99,4.4,False
Chapelle d'Ausone Saint-?ilion Grand Cru,510.99,4.4,False
Chapelle d'Ausone Saint-?ilion Grand Cru,510.99,4.4,False
Chapelle d'Ausone Saint-?ilion Grand Cru,510.99,4.2,False
Latrici?es-Chambertin Grand Cru,509.99,4.5,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),509.99,4.5,False
Latrici?es-Chambertin Grand Cru,509.99,4.5,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),509.99,4.3,False
Treehouse Pinot Noir,508.78,4.7,False
Sor? Tild? (Barbaresco) Langhe,507.99,4.5,False
Sor? San Lorenzo,507.99,4.5,False
Costa Russi (Barbaresco) Langhe,507.99,4.5,False
Saint-Julien (Grand Cru Class?),505.0,4.5,False
Saint-Julien (Grand Cru Class?),505.0,4.5,False
Saint-Julien (Grand Cru Class?),505.0,4.4,False
Saint-Julien (Grand Cru Class?),505.0,4.3,False
Saint-Julien (Grand Cru Class?),505.0,4.3,False
Saint-Julien (Grand Cru Class?),505.0,4.2,False
Saint-Julien (Grand Cru Class?),505.0,4.2,False
Saint-Julien (Grand Cru Class?),505.0,4.1,False
Saint-Julien (Grand Cru Class?),505.0,4.1,False
Saint-Julien (Grand Cru Class?),505.0,4.0,False
State Lane Vineyard Cabernet Sauvignon Grand-Vin,502.5,4.6,False
Clos de Vougeot Grand Cru,500.0,4.6,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),500.0,4.6,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),500.0,4.5,False
Clos de Vougeot Grand Cru,500.0,4.4,False
Charmes-Chambertin Grand Cru,500.0,4.4,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),500.0,4.4,False
Clos de Vougeot Grand Cru,500.0,4.3,False
Clos de Vougeot Grand Cru,500.0,4.2,False
?hezeaux Grand Cru,500.0,4.2,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),500.0,4.2,False
Clos de Vougeot Grand Cru,500.0,4.1,False
Charmes-Chambertin Grand Cru,500.0,4.0,False
Insignia,499.99,4.7,False
Insignia,499.99,4.7,False
Cabernet Sauvignon,499.99,4.7,False
Cabernet Sauvignon,499.99,4.7,False
Carruades de Lafite Pauillac,499.99,4.7,False
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,499.99,4.7,False
Ten Pinot Noir,499.99,4.6,False
Insignia,499.99,4.6,False
Insignia,499.99,4.6,False
Opus One,499.99,4.6,False
Ten Pinot Noir,499.99,4.6,False
Insignia,499.99,4.6,False
Carruades de Lafite Pauillac,499.99,4.5,False
Ten Pinot Noir,499.99,4.5,False
Carruades de Lafite Pauillac,499.99,4.5,False
Le Petit Mouton de Mouton Rothschild Pauillac,499.99,4.5,False
Carruades de Lafite Pauillac,499.99,4.5,False
Bonnes-Mares Grand Cru,499.99,4.5,False
Cabernet Sauvignon,499.99,4.5,False
Saint-Julien (Grand Cru Class?),499.99,4.4,False
Saint-Julien (Grand Cru Class?),499.99,4.4,False
Carruades de Lafite Pauillac,499.99,4.4,False
Carruades de Lafite Pauillac,499.99,4.4,False
Le Petit Mouton de Mouton Rothschild Pauillac,499.99,4.4,False
Carruades de Lafite Pauillac,499.99,4.4,False
Insignia,499.99,4.4,False
Insignia,499.99,4.4,False
Cannubi San Lorenzo - Ravera Barolo,499.99,4.4,False
Bonnes-Mares Grand Cru,499.99,4.4,False
Pessac-L?gnan (Grand Cru Class? de Graves),499.99,4.3,False
Saint-Julien (Grand Cru Class?),499.99,4.3,False
Insignia,499.99,4.3,False
Carruades de Lafite Pauillac,499.99,4.3,False
Carruades de Lafite Pauillac,499.99,4.3,False
Les Forts de Latour Pauillac,499.99,4.3,False
Bonnes-Mares Grand Cru,499.99,4.3,False
Insignia,499.99,4.3,False
Carruades de Lafite Pauillac,499.99,4.3,False
Carruades de Lafite Pauillac,499.99,4.2,False
Margaux (Grand Cru Class?),499.97,4.2,False
Proprietary Red,499.95,4.7,False
Proprietary Red,499.95,4.6,False
Proprietary Red,499.95,4.5,False
Proprietary Red,499.95,4.5,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),499.95,4.2,False
Howell Mountain Red,499.5,4.8,False
Charmes-Chambertin Grand Cru,498.95,4.6,False
Charmes-Chambertin Grand Cru,498.95,4.5,False
Opus One,494.5,4.6,False
Clos Vougeot Grand Cru,489.99,3.8,False
Le Desir,489.97,4.7,False
Le Desir,489.97,4.6,False
Le Desir,489.97,4.5,False
Le Desir,489.97,4.5,False
Le Desir,489.97,4.4,False
Barolo Cascina Francia,488.0,4.5,False
Barolo Cascina Francia,488.0,4.5,False
Barolo Cascina Francia,488.0,4.5,False
Barolo Cascina Francia,488.0,4.5,False
Barolo Cascina Francia,488.0,4.4,False
Barolo Cascina Francia,488.0,4.2,False
Historical XIXth Century Wine,487.99,4.5,False
Hershey Vineyard Cabernet Sauvignon,485.0,4.5,False
Spring Mountain District Cabernet Sauvignon,484.49,4.7,False
Spring Mountain District Cabernet Sauvignon,484.49,4.6,False
Unico,483.32,4.6,False
Saint-Julien (Grand Cru Class?),481.99,4.7,False
Echezeaux Grand Cru,481.99,4.4,False
Maya,479.99,4.8,False
Cariad,479.2,4.7,False
Cariad,479.2,4.7,False
Cariad,479.2,4.6,False
Cabernet Sauvignon RBS Beckstoffer To Kalon Vineyard,475.0,4.8,False
Cabernet Sauvignon RBS Beckstoffer To Kalon Vineyard,475.0,4.8,False
Cabernet Sauvignon RBS Beckstoffer To Kalon Vineyard,475.0,4.8,False
Cabernet Sauvignon RBS Beckstoffer To Kalon Vineyard,475.0,4.7,False
Cabernet Sauvignon RBS Beckstoffer To Kalon Vineyard,475.0,4.7,False
Cabernet Sauvignon RBS Beckstoffer To Kalon Vineyard,475.0,4.7,False
Cabernet Sauvignon GIII (G3) Beckstoffer Georges III Vineyard,475.0,4.7,False
Cabernet Sauvignon RBS Beckstoffer To Kalon Vineyard,475.0,4.6,False
Contador Rioja,474.99,4.6,False
Sor? Tild? (Barbaresco) Langhe,474.95,4.7,False
Sor? Tild? (Barbaresco) Langhe,474.95,4.6,False
Sor? Tild? (Barbaresco) Langhe,474.95,4.6,False
Morey-Saint-Denis Premier Cru Clos de La Bussi?e,474.95,4.1,False
Hershey Vineyard Cabernet Sauvignon,472.99,4.6,False
Chambertin Clos de B?e Grand Cru,472.94,4.1,False
Unico,469.99,4.7,False
Unico,469.99,4.7,False
C?e-R?ie La Turque,467.99,4.7,False
C?e-R?ie La Mouline,467.99,4.6,False
Clos Saint-Denis Grand Cru,467.99,4.5,False
Rouge (Gaston Hochar),467.95,4.1,False
Cos d'Estournel,465.0,4.6,False
Cos d'Estournel,465.0,4.3,False
Cos d'Estournel,465.0,4.2,False
Cos d'Estournel,465.0,4.2,False
Cos d'Estournel,465.0,4.0,False
Cos d'Estournel,465.0,4.0,False
Cos d'Estournel,465.0,4.0,False
Cos d'Estournel,465.0,3.6,False
R?erv? Ch?eauneuf-du-Pape,464.0,4.4,False
R?erv? Ch?eauneuf-du-Pape,464.0,4.1,False
Pessac-L?gnan (Grand Cru Class? de Graves),463.99,4.5,False
Chapelle-Chambertin Grand Cru,462.0,4.5,False
Mazoy?es-Chambertin Grand Cru (Vieilles Vignes),461.99,4.4,False
Saint-Julien (Grand Cru Class?),459.99,4.3,False
Opus One,459.42,4.6,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),455.0,4.5,False
